"id","name","start","dist","up","down","end","type","surface","map","deprecated","neighborhoods","coarse_neighborhoods","start_neighborhood","end_neighborhood"
"sodo-alki-lincoln-duwamish-1st-loop","SODO, Alki Beach, Lincoln Park, Duwamish Trail, 1st Ave Loop","SODO","19.0","1200","","SODO","Loop","","https://onthegomap.com/s/sevrqk33","","Alki;Fauntleroy;Gatewood;Georgetown;Harbor Island;Highland Park;Industrial District;Roxhill;SODO;Seaview;South Delridge;South Park","Delridge;Greater Duwamish;West Seattle","SODO","SODO"
"sodo-alki-lincoln-duwamish-loop","SODO, Alki Beach, Lincoln Park, Duwamish Trail Loop","SODO","19.8","1400","","SODO","Loop","","https://onthegomap.com/s/6asb66pn","","Alki;Fauntleroy;Gatewood;Harbor Island;Highland Park;Industrial District;North Delridge;Roxhill;SODO;Seaview;South Delridge;South Park","Delridge;Greater Duwamish;West Seattle","SODO","SODO"
"wash-park-interlaken-ob","OB: Washington Park, Interlaken","WashPark","3.7","477","","WashPark","OB","","https://onthegomap.com/s/es3vs3pk","true","Montlake;Stevens","Capitol Hill","Stevens","Stevens"
"wash-park-lwb-mt-baker-beach-ob","OB: Washington Park, LWB, Mt Baker Beach","WashPark","7.1","550","","WashPark","OB","","https://onthegomap.com/s/akehjo3a","true","Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Mount Baker;Stevens","Capitol Hill;Central Area;Rainier Valley","Stevens","Stevens"
"wash-park-lwb-sailing-club-ob","OB: Washington Park, LWB, Sailing Club","WashPark","9.5","620","","WashPark","OB","","https://onthegomap.com/s/mrfgva4k","true","Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Mount Baker;Seward Park;Stevens","Capitol Hill;Central Area;Rainier Valley;Seward Park","Madison Park","Madison Park"
"wash-park-lwb-seward-ob","OB: Washington Park, LWB, Seward","WashPark","13.1","730","","WashPark","OB","","https://onthegomap.com/s/lpuhoalf","true","Harrison/Denny-Blaine;Leschi;Madison Park;Madrona;Mount Baker;Seward Park;Stevens","Capitol Hill;Central Area;Rainier Valley;Seward Park","Madison Park","Madison Park"
"westlake-waterfront-cranes-sodo","Westlake, Waterfront, Cranes, SODO","Westlake","4.4","90","","SODO","P2P","","https://onthegomap.com/s/3irg5bar","","Belltown;Central Business District;Pike-Market;Pioneer Square;SODO","Downtown;Greater Duwamish","Central Business District","SODO"
"westlake-sculpture-park-ob","OB: Westlake, Sculpture Park","Westlake","5.1","253","","Westlake","OB","","https://onthegomap.com/s/nfe3jmv0","","Belltown;Central Business District;Interbay;Pike-Market","Downtown;Interbay","Central Business District","Central Business District"
"westlake-kerry-park-fairy-rings-dexter-loop","Westlake, Kerry Park, Fairy Rings, Dexter Loop","Westlake","7.2","820","","Westlake","Loop","","https://onthegomap.com/s/nnpp0gcg","","Belltown;Central Business District;Denny Triangle;East Queen Anne;Lower Queen Anne;North Queen Anne;South Lake Union;West Queen Anne;Westlake","Cascade;Downtown;Queen Anne","Central Business District","Central Business District"
"westlake-sculpture-park-kerry-park-loop","Westlake, Sculpture Park, Kerry Park Loop","Westlake","7.3","740","","Westlake","Loop","","https://onthegomap.com/s/hee9mlan","","Belltown;Central Business District;Denny Triangle;East Queen Anne;Interbay;Lower Queen Anne;Pike-Market;South Lake Union;West Queen Anne;Westlake","Cascade;Downtown;Interbay;Queen Anne","Central Business District","Central Business District"
"westlake-sculpture-smith-cove-ob","OB: Westlake, Sculpture Park, Smith Cove","Westlake","9.3","410","","Westlake","OB","","https://onthegomap.com/s/rm6intki","","Belltown;Central Business District;Interbay;Pike-Market","Downtown;Interbay","Central Business District","Central Business District"
"westlake-elliot-bay-ship-canal-dexter-loop","Westlake, Elliot Bay, Ship Canal, Dexter Loop","Westlake","9.8","430","","Westlake","Loop","","https://onthegomap.com/s/rdqa9ltj","","Belltown;Central Business District;East Queen Anne;Interbay;Lower Queen Anne;North Queen Anne;Pike-Market;South Lake Union;Southeast Magnolia;Westlake","Cascade;Downtown;Interbay;Magnolia;Queen Anne","Central Business District","Central Business District"
"westlake-sculpture-marina-ob","OB: Westlake, Sculpture Park, Marina","Westlake","10.1","430","","Westlake","OB","","https://onthegomap.com/s/tjjt8fqt","","Belltown;Briarcliff;Central Business District;Interbay;Pike-Market;Southeast Magnolia","Downtown;Interbay;Magnolia","Central Business District","Central Business District"
"westlake-sculpture-interbay-queen-anne-loop","Westlake, Sculpture Park, Interbay, Queen Anne Loop","Westlake","10.2","840","","Westlake","Loop","","https://onthegomap.com/s/pmmqj3t5","","Belltown;Central Business District;Denny Triangle;East Queen Anne;Interbay;Lower Queen Anne;North Queen Anne;Pike-Market;South Lake Union;West Queen Anne;Westlake","Cascade;Downtown;Interbay;Queen Anne","Central Business District","Central Business District"
"westlake-elliot-bay-tracks-ship-canal-dexter-loop","Westlake, Elliot Bay, Tracks, Ship Canal, Dexter Loop","Westlake","11.7","540","","Westlake","Loop","","https://onthegomap.com/s/80cljbae","","Belltown;Central Business District;East Queen Anne;Interbay;Lawton Park;Lower Queen Anne;North Queen Anne;Pike-Market;South Lake Union;Southeast Magnolia;Westlake","Cascade;Downtown;Interbay;Magnolia;Queen Anne","Central Business District","Central Business District"
"westlake-elliot-bay-locks-burke-westlake-loop","Westlake, Elliot Bay, Locks, Burke, Westlake Loop","Westlake","11.8","540","","Westlake","Loop","","https://onthegomap.com/s/24tn5ijp","","Ballard;Belltown;Central Business District;Denny Triangle;East Queen Anne;Fremont;Interbay;Lawton Park;Pike-Market;South Lake Union;Southeast Magnolia;West Woodland;Westlake","Ballard;Cascade;Downtown;Interbay;Magnolia;North Central;Queen Anne","Central Business District","Central Business District"
"westlake-cranes-alki-sodo","Westlake, Cranes, Alki Beach, SODO","Westlake","15.5","400","","SODO","P2P","","https://onthegomap.com/s/v6ro8v6l","","Alki;Belltown;Central Business District;Harbor Island;Industrial District;Pike-Market;Pioneer Square;SODO","Downtown;Greater Duwamish;West Seattle","Central Business District","SODO"
